zone,sensor_id,sensor_type,vendor,latitude,longitude
Brooks,61433,water,ITRON,29.344070000000002,-98.45223
Brooks,400791,water,ATT,29.345167,-98.451583
Brooks,63554,noise,ITRON,29.341590000000004,-98.43956
Brooks,63d684c940ce1f6b,air,ATT,29.34566,-98.43454399999999
Brooks,63d684c940ce1f6b,noise,ATT,29.34566,-98.43454399999999
Brooks,63d684c940ce1f6b,weather,ATT,29.34566,-98.43454399999999
Brooks,689324d0f345350d,air,ATT,29.34473,-98.435672
Brooks,689324d0f345350d,noise,ATT,29.34473,-98.435672
Brooks,689324d0f345350d,weather,ATT,29.34473,-98.435672
Brooks,6de2cc6034fd26e8,air,ATT,29.34412,-98.43644
Brooks,6de2cc6034fd26e8,noise,ATT,29.34412,-98.43644
Brooks,6de2cc6034fd26e8,weather,ATT,29.34412,-98.43644
Brooks,70449,air,ITRON,29.34602000000001,-98.43955
Brooks,70449,weather,ITRON,29.34602000000001,-98.43955
Downtown,61440,water,ITRON,29.42189,-98.48519
Downtown,400783,water,ATT,29.421882,-98.485166
Downtown,63540,noise,ITRON,29.42288,-98.48693
Downtown,63547,noise,ITRON,29.4221,-98.48366
Downtown,63db58629a2d20a7,air,ATT,29.41661,-98.48408
Downtown,63db58629a2d20a7,noise,ATT,29.41661,-98.48408
Downtown,63db58629a2d20a7,weather,ATT,29.41661,-98.48408
Downtown,64d7e0e4cfeba0b6,air,ATT,29.41491,-98.4814
Downtown,64d7e0e4cfeba0b6,noise,ATT,29.414859999999997,-98.481488
Downtown,64d7e0e4cfeba0b6,weather,ATT,29.41491,-98.4814
Downtown,64d7e4dbde37ccb5,air,ATT,29.415909999999997,-98.48288000000001
Downtown,64d7e4dbde37ccb5,noise,ATT,29.415909999999997,-98.48288000000001
Downtown,64d7e4dbde37ccb5,weather,ATT,29.415909999999997,-98.48288000000001
Downtown,70456,air,ITRON,29.42457000000001,-98.49457
Downtown,70456,weather,ITRON,29.42457000000001,-98.49457
Medical Center,61447,water,ITRON,29.510959999999997,-98.58604
Medical Center,400789,water,ATT,29.511164,-98.58609399999999
Medical Center,63568,noise,ITRON,29.5093,-98.58361
Medical Center,63e0b0eae3495a39,air,ATT,29.510070000000002,-98.580288
Medical Center,63e0b0eae3495a39,noise,ATT,29.510070000000002,-98.580288
Medical Center,63e0b0eae3495a39,weather,ATT,29.510070000000002,-98.580288
Medical Center,6dee283d397b9803,air,ATT,29.50752,-98.58136800000001
Medical Center,6dee283d397b9803,noise,ATT,29.50752,-98.58136800000001
Medical Center,6dee283d397b9803,weather,ATT,29.50752,-98.58136800000001
Medical Center,70463,air,ITRON,29.50484,-98.5835
Medical Center,70463,weather,ITRON,29.50484,-98.5835
Medical Center,7b48389537e7a6c7,air,ATT,29.5079,-98.58128
Medical Center,7b48389537e7a6c7,noise,ATT,29.5079,-98.58128
Medical Center,7b48389537e7a6c7,weather,ATT,29.5079,-98.58128
